Department,Chart,Metric,Date,Volume,Result,Explanation
AFR,ems_response,90th Percentile First Due EMS Response Time,6/10/2014,,503,
AFR,ems_response,90th Percentile First Due EMS Response Time,7/10/2014,,488,
AFR,ems_response,90th Percentile First Due EMS Response Time,8/10/2014,,487,
AFR,ems_response,90th Percentile First Due EMS Response Time,9/10/2014,,478,
AFR,ems_response,90th Percentile First Due EMS Response Time,10/10/2014,,505,
AFR,ems_response,90th Percentile First Due EMS Response Time,11/10/2014,,496,
AFR,ems_response,90th Percentile First Due EMS Response Time,12/10/2014,,484,
AFR,ems_response,90th Percentile First Due EMS Response Time,1/10/2015,,481,
AFR,ems_response,90th Percentile First Due EMS Response Time,2/10/2015,,485,
AFR,ems_response,90th Percentile First Due EMS Response Time,3/10/2015,,478,
AFR,ems_response,90th Percentile First Due EMS Response Time,4/10/2015,,515,
AFR,ems_response,90th Percentile First Due EMS Response Time,5/10/2015,,493,
AFR,ems_response,90th Percentile First Due EMS Response Time,6/10/2015,,515,
AFR,fire_response,90th Percentile First Due Fire Response Time,6/10/2014,,482.7,
AFR,fire_response,90th Percentile First Due Fire Response Time,7/10/2014,,450,
AFR,fire_response,90th Percentile First Due Fire Response Time,8/10/2014,,435,
AFR,fire_response,90th Percentile First Due Fire Response Time,9/10/2014,,468,
AFR,fire_response,90th Percentile First Due Fire Response Time,10/10/2014,,449,
AFR,fire_response,90th Percentile First Due Fire Response Time,11/10/2014,,430,
AFR,fire_response,90th Percentile First Due Fire Response Time,12/10/2014,,430,
AFR,fire_response,90th Percentile First Due Fire Response Time,1/10/2015,,429,
AFR,fire_response,90th Percentile First Due Fire Response Time,2/10/2015,,411,
AFR,fire_response,90th Percentile First Due Fire Response Time,3/10/2015,,440,
AFR,fire_response,90th Percentile First Due Fire Response Time,4/10/2015,,478,
AFR,fire_response,90th Percentile First Due Fire Response Time,5/10/2015,,475,
AFR,fire_response,90th Percentile First Due Fire Response Time,6/10/2015,,476,
AFR,ems_response,90th Percentile Turnout Time of EMS Response,6/10/2014,,116,
AFR,ems_response,90th Percentile Turnout Time of EMS Response,7/10/2014,,128,
AFR,ems_response,90th Percentile Turnout Time of EMS Response,8/10/2014,,116,
AFR,ems_response,90th Percentile Turnout Time of EMS Response,9/10/2014,,129,
AFR,ems_response,90th Percentile Turnout Time of EMS Response,10/10/2014,,122,
AFR,ems_response,90th Percentile Turnout Time of EMS Response,11/10/2014,,131,
AFR,ems_response,90th Percentile Turnout Time of EMS Response,12/10/2014,,139,
AFR,ems_response,90th Percentile Turnout Time of EMS Response,1/10/2015,,129,
AFR,ems_response,90th Percentile Turnout Time of EMS Response,2/10/2015,,139,
AFR,ems_response,90th Percentile Turnout Time of EMS Response,3/10/2015,,140,
AFR,ems_response,90th Percentile Turnout Time of EMS Response,4/10/2015,,166,
AFR,ems_response,90th Percentile Turnout Time of EMS Response,5/10/2015,,163,
AFR,ems_response,90th Percentile Turnout Time of EMS Response,6/10/2015,,157,
AFR,fire_response,90th Percentile Turnout Time of Fire Response,6/10/2014,,110,
AFR,fire_response,90th Percentile Turnout Time of Fire Response,7/10/2014,,128,
AFR,fire_response,90th Percentile Turnout Time of Fire Response,8/10/2014,,110,
AFR,fire_response,90th Percentile Turnout Time of Fire Response,9/10/2014,,120,
AFR,fire_response,90th Percentile Turnout Time of Fire Response,10/10/2014,,128,
AFR,fire_response,90th Percentile Turnout Time of Fire Response,11/10/2014,,130,
AFR,fire_response,90th Percentile Turnout Time of Fire Response,12/10/2014,,133,
AFR,fire_response,90th Percentile Turnout Time of Fire Response,1/10/2015,,163,
